accountNumber,description,startBalance,mutation,endBalance,reference
NL90ABNA0585647886,Flowers for Richard Bakker,94.9,14.63,109.53,138932
NL93ABNA0585619023,Candy from Vincent de Vries,5429,-939,6368,131254
NL27SNSB0917829871,Tickets from Rik King,84.46,40.45,124.91,101339
NL32RABO0195610843,Subscription from Vincent de Vries,38.86,28.77,67.63,119582
NL32RABO0195610843,Candy for Rik de Vries,51.01,-25.59,25.42,180148
NL69ABNA0433647324,Flowers from Richard Bakker,62.17,20.55,82.72,152977
NL91RABO0315273637,Subscription for Jan Theuß,10.1,-0.3,9.8,167188
NL43AEGO0773393871,Clothes from Rik Theuß,21.54,-17.57,3.97,154771
NL43AEGO0773393871,Subscription for Erik de Vries,3980,1000,4981,192480
NL90ABNA0585647886,Flowers for Jan Theuß,75.39,-32.75,42.64,181688
